actual_load_g,method,metric,unit,mean,sd,n_captures
697.0,FIT_PRESS,mean_estimate_absolute_percentage_error,%,13.500699485911555,,1
800.0,LINEAR,mean,g,3033.6504999470485,,1
800.0,LINEAR,bias_g,g,2233.6504999470485,,1
800.0,LINEAR,mae_g,g,2274.7276327504273,,1
800.0,LINEAR,rmse_g,g,2482.6122873598715,,1
800.0,LINEAR,std,g,1083.5908884060038,,1
800.0,LINEAR,cv_percent,%,35.719041742775495,,1
800.0,LINEAR,mad,g,660.0777412842376,,1
800.0,LINEAR,variance,g^2,1174169.2134365127,,1
800.0,LINEAR,iqr,g,1357.2625000121352,,1
800.0,LINEAR,mean_estimate_absolute_percentage_error,%,279.20631249338106,,1
800.0,GAMMA,mean,g,1148.7868178405474,,1
800.0,GAMMA,bias_g,g,348.78681784054766,,1
800.0,GAMMA,mae_g,g,827.9137292555887,,1
800.0,GAMMA,rmse_g,g,1183.780431480987,,1
800.0,GAMMA,std,g,1131.2311283102038,,1
800.0,GAMMA,cv_percent,%,98.47180614734557,,1
800.0,GAMMA,mad,g,667.678611782261,,1
800.0,GAMMA,variance,g^2,1279683.8656579766,,1
800.0,GAMMA,iqr,g,1425.049651183293,,1
800.0,GAMMA,mean_estimate_absolute_percentage_error,%,43.59835223006846,,1
800.0,FIT_PRESS,mean,g,695.6538424957706,,1
800.0,FIT_PRESS,bias_g,g,-104.34615750422938,,1
800.0,FIT_PRESS,mae_g,g,197.4675169626667,,1
800.0,FIT_PRESS,rmse_g,g,348.71698628967494,,1
800.0,FIT_PRESS,std,g,332.73926119569336,,1
800.0,FIT_PRESS,cv_percent,%,47.83115406966451,,1
800.0,FIT_PRESS,mad,g,103.08766233766232,,1
800.0,FIT_PRESS,variance,g^2,110715.41594105585,,1
800.0,FIT_PRESS,iqr,g,225.1314642021814,,1
800.0,FIT_PRESS,mean_estimate_absolute_percentage_error,%,13.043269688028673,,1
882.0,LINEAR,mean,g,3269.432366129882,,1
882.0,LINEAR,bias_g,g,2387.432366129882,,1
882.0,LINEAR,mae_g,g,2420.830862369622,,1
882.0,LINEAR,rmse_g,g,2598.089405234691,,1
882.0,LINEAR,std,g,1024.809862729776,,1
882.0,LINEAR,cv_percent,%,31.34519231370037,,1
882.0,LINEAR,mad,g,590.9876434626017,,1
882.0,LINEAR,variance,g^2,1050235.2547482222,,1
882.0,LINEAR,iqr,g,1196.0829482909962,,1
882.0,LINEAR,mean_estimate_absolute_percentage_error,%,270.6839417380819,,1
882.0,GAMMA,mean,g,1389.5392390213258,,1
882.0,GAMMA,bias_g,g,507.5392390213255,,1
882.0,GAMMA,mae_g,g,932.1708260047872,,1
882.0,GAMMA,rmse_g,g,1297.5335473622142,,1
882.0,GAMMA,std,g,1194.1512581679197,,1
882.0,GAMMA,cv_percent,%,85.93864963532653,,1
882.0,GAMMA,mad,g,776.3023807013176,,1
882.0,GAMMA,variance,g^2,1425997.2273840255,,1
882.0,GAMMA,iqr,g,1577.245163247011,,1
882.0,GAMMA,mean_estimate_absolute_percentage_error,%,57.54413140831355,,1
882.0,FIT_PRESS,mean,g,817.3215775167761,,1
882.0,FIT_PRESS,bias_g,g,-64.6784224832239,,1
882.0,FIT_PRESS,mae_g,g,204.60249899451742,,1
882.0,FIT_PRESS,rmse_g,g,401.87419600268015,,1
882.0,FIT_PRESS,std,g,396.63531244441936,,1
882.0,FIT_PRESS,cv_percent,%,48.528672600262794,,1
882.0,FIT_PRESS,mad,g,102.72727272727275,,1
882.0,FIT_PRESS,variance,g^2,157319.57107788217,,1
882.0,FIT_PRESS,iqr,g,203.92382622053026,,1
882.0,FIT_PRESS,mean_estimate_absolute_percentage_error,%,7.333154476555998,,1
966.0,LINEAR,mean,g,3417.8181990076705,,1
966.0,LINEAR,bias_g,g,2451.8181990076705,,1
966.0,LINEAR,mae_g,g,2483.090813916719,,1
966.0,LINEAR,rmse_g,g,2645.6034981992584,,1
966.0,LINEAR,std,g,993.8839915699089,,1
966.0,LINEAR,cv_percent,%,29.079486786584294,,1
966.0,LINEAR,mad,g,542.1885806501195,,1
966.0,LINEAR,variance,g^2,987805.3886989347,,1
966.0,LINEAR,iqr,g,1146.5481262982075,,1
966.0,LINEAR,mean_estimate_absolute_percentage_error,%,253.8114077647692,,1
966.0,GAMMA,mean,g,1567.9703066231789,,1
966.0,GAMMA,bias_g,g,601.9703066231787,,1
966.0,GAMMA,mae_g,g,1006.2173395217093,,1
966.0,GAMMA,rmse_g,g,1358.5093665798636,,1
966.0,GAMMA,std,g,1217.8585505013373,,1
966.0,GAMMA,cv_percent,%,77.67102127872235,,1
966.0,GAMMA,mad,g,839.8571266380579,,1
966.0,GAMMA,variance,g^2,1483179.4490292182,,1
966.0,GAMMA,iqr,g,1688.636315374295,,1
966.0,GAMMA,mean_estimate_absolute_percentage_error,%,62.315766731177916,,1
966.0,FIT_PRESS,mean,g,904.6572371492551,,1
966.0,FIT_PRESS,bias_g,g,-61.34276285074486,,1
966.0,FIT_PRESS,mae_g,g,217.44147308968607,,1
966.0,FIT_PRESS,rmse_g,g,419.5689137171848,,1
966.0,FIT_PRESS,std,g,415.0604038012488,,1
966.0,FIT_PRESS,cv_percent,%,45.880404948639125,,1
966.0,FIT_PRESS,mad,g,120.0690026954178,,1
966.0,FIT_PRESS,variance,g^2,172275.13880365572,,1
966.0,FIT_PRESS,iqr,g,241.55036338859873,,1
966.0,FIT_PRESS,mean_estimate_absolute_percentage_error,%,6.350182489725141,,1
1035.0,LINEAR,mean,g,3550.281983878627,,1
1035.0,LINEAR,bias_g,g,2515.2819838786268,,1
1035.0,LINEAR,mae_g,g,2543.634486506629,,1
1035.0,LINEAR,rmse_g,g,2686.338779668322,,1
1035.0,LINEAR,std,g,943.2775735304463,,1
1035.0,LINEAR,cv_percent,%,26.569088816430586,,1
1035.0,LINEAR,mad,g,499.64622902248675,,1
1035.0,LINEAR,variance,g^2,889772.5807254865,,1
1035.0,LINEAR,iqr,g,1039.885391372516,,1
1035.0,LINEAR,mean_estimate_absolute_percentage_error,%,243.02241390131658,,1
1035.0,GAMMA,mean,g,1729.0079999497452,,1
1035.0,GAMMA,bias_g,g,694.0079999497452,,1
1035.0,GAMMA,mae_g,g,1073.347256049854,,1
1035.0,GAMMA,rmse_g,g,1415.4706835083489,,1
1035.0,GAMMA,std,g,1233.6572262493933,,1
1035.0,GAMMA,cv_percent,%,71.35057942388065,,1
1035.0,GAMMA,mad,g,883.3493072591789,,1
1035.0,GAMMA,variance,g^2,1521910.1518773467,,1
1035.0,GAMMA,iqr,g,1705.5752856258446,,1
1035.0,GAMMA,mean_estimate_absolute_percentage_error,%,67.05391303862272,,1
1035.0,FIT_PRESS,mean,g,971.8630057399624,,1
1035.0,FIT_PRESS,bias_g,g,-63.13699426003759,,1
1035.0,FIT_PRESS,mae_g,g,217.20108499791402,,1
1035.0,FIT_PRESS,rmse_g,g,420.6057410386252,,1
1035.0,FIT_PRESS,std,g,415.8400045094977,,1
1035.0,FIT_PRESS,cv_percent,%,42.787924023600745,,1
1035.0,FIT_PRESS,mad,g,99.67692307692312,,1
1035.0,FIT_PRESS,variance,g^2,172922.90935045906,,1
1035.0,FIT_PRESS,iqr,g,217.1981747066493,,1
1035.0,FIT_PRESS,mean_estimate_absolute_percentage_error,%,6.100192682129236,,1
1107.0,LINEAR,mean,g,3658.321307365684,,1
1107.0,LINEAR,bias_g,g,2551.321307365684,,1
1107.0,LINEAR,mae_g,g,2576.636183436316,,1
1107.0,LINEAR,rmse_g,g,2704.5790582079153,,1
1107.0,LINEAR,std,g,897.5006789293661,,1
1107.0,LINEAR,cv_percent,%,24.533128818464725,,1
1107.0,LINEAR,mad,g,465.84737027450046,,1
1107.0,LINEAR,variance,g^2,805507.4686786731,,1
1107.0,LINEAR,iqr,g,997.3266883530964,,1
1107.0,LINEAR,mean_estimate_absolute_percentage_error,%,230.47166281532827,,1
1107.0,GAMMA,mean,g,1870.3296041155995,,1
1107.0,GAMMA,bias_g,g,763.3296041155994,,1
1107.0,GAMMA,mae_g,g,1127.685748030784,,1
1107.0,GAMMA,rmse_g,g,1457.3883688573185,,1
1107.0,GAMMA,std,g,1241.4945723446874,,1
1107.0,GAMMA,cv_percent,%,66.37838430257528,,1
