run_id,combination,N,packets,pc_dt_zero_count,pc_dt_negative_count,pc_dt_gt_20ms_count,pc_dt_gt_100ms_count,host_dt_gt_20ms_count,host_dt_gt_100ms_count,sequence_step_not_one_count,observed_pc_span_ms,observed_host_span_ms,pc_packet_span_rate_Hz,host_packet_span_rate_Hz,pc_completion_dt_ms_n,pc_completion_dt_ms_mean,pc_completion_dt_ms_sd_population,pc_completion_dt_ms_min,pc_completion_dt_ms_p50,pc_completion_dt_ms_p95,pc_completion_dt_ms_p99,pc_completion_dt_ms_max,host_enqueue_dt_ms_n,host_enqueue_dt_ms_mean,host_enqueue_dt_ms_sd_population,host_enqueue_dt_ms_min,host_enqueue_dt_ms_p50,host_enqueue_dt_ms_p95,host_enqueue_dt_ms_p99,host_enqueue_dt_ms_max
20260907_020041_855845,M0+M2+M3,3,6003,2653,0,30,15,0,0,0,29993.59950001235,29994,200.10935999853996,200.1066880042675,6002,4.997267494170669,60.85540062729019,0.0,2.8934999863849953,8.55656499043107,14.321716976992306,4040.859400003683,6002,4.997334221926025,0.17696266836954788,3.0,5.0,5.0,5.0,7.0
20260907_020121_954165,M0+M2+M3,3,6004,481,0,32,1,0,0,0,29992.991800012533,29996,200.14675561634007,200.1266835578077,6003,4.996333799768871,3.913383056130891,0.0,4.900500003714114,10.574959995574316,17.11184800369664,105.93140000128187,6003,4.996834915875396,0.19184605315951203,3.0,5.0,5.0,5.0,7.0
20260907_020202_020960,M0+M2+M3,3,6004,172,0,7,0,0,0,0,29991.33640000946,29998,200.15780290464505,200.11334088939262,6003,4.996058037649418,2.8712181455512957,0.0,4.929399990942329,10.281820004456675,14.521501986891941,34.06969999196008,6003,4.997168082625354,0.1865687691298605,3.0,5.0,5.0,5.0,7.0
20260907_020319_422751,M0+M1+M3,3,6003,998,0,71,5,0,0,0,29995.175400021253,29996,200.09884656302918,200.09334577943727,6002,4.997530056651325,6.207905553716583,0.0,4.8862499970709905,11.023805005243048,21.539332011307124,171.93770001176745,6002,4.9976674441852715,0.1769673742602897,3.0,5.0,5.0,5.0,7.0
20260907_020359_444605,M0+M1+M3,3,6004,154,0,4,0,0,0,0,29996.953800000483,29997,200.12032021731164,200.1200120012001,6003,4.9969938030985315,2.805981469682423,0.0,4.943800013279542,10.126229986781253,14.6203020052053,30.72690000408329,6003,4.997001499250374,0.19741205317401955,3.0,5.0,5.0,6.0,7.0
20260907_020439_495918,M0+M1+M3,3,6006,321,0,18,0,0,0,0,29999.754000018584,30003,200.16830804666864,200.14665200146652,6005,4.995795836805759,3.411034471719115,0.0,4.936999990604818,10.188420000486078,15.112539979163559,81.64650000981055,6005,4.996336386344713,0.19482027008305522,3.0,5.0,5.0,6.0,7.0
20260907_020547_996772,M0+M1+M2,3,6007,800,0,72,2,0,0,0,29995.4146000091,30004,200.23060458041405,200.17331022530328,6006,4.99424152514304,5.335445137228016,0.0,4.859699998633005,11.130025013699196,21.946554997702975,161.8898999877274,6006,4.995670995670996,0.2662899371936356,3.0,5.0,5.0,6.0,7.0
20260907_020628_047087,M0+M1+M2,3,6006,213,0,3,0,0,0,0,29993.433100025868,29996,200.21049207584113,200.1933591145486,6005,4.99474323064544,2.9388830800937833,0.0,4.916600009892136,10.50519999698736,14.694540000054987,32.65909999026917,6005,4.995170691090758,0.2752214913166059,3.0,5.0,5.0,6.0,7.0
20260907_020708_105510,M0+M1+M2,3,6006,167,0,1,0,0,0,0,30000.631600007182,29997,200.16245257978377,200.1866853352002,6005,4.995941981683128,2.7964629813591735,0.0,4.926599998725578,10.21448001265526,14.409955978626385,35.52879998460412,6005,4.99533721898418,0.2773339958141284,3.0,5.0,5.0,6.0,7.0
20260907_020810_266713,M0+M1+M2+M3,4,6004,150,0,4,0,0,0,0,29988.957499997923,29993,200.1736805956131,200.14670089687593,6003,4.995661752456759,2.687315364995904,0.0,4.938800004310906,9.853059996385127,14.085336005664429,35.72280000662431,6003,4.996335165750458,0.18877343890353662,3.0,5.0,5.0,5.0,7.0
20260907_020850_322476,M0+M1+M2+M3,4,6048,1877,0,141,12,0,0,0,29725.22829999798,30216,203.42989258051927,200.12576118612657,6047,4.915698412435584,11.692808730506496,0.0,4.692000016802922,12.307400000281632,32.982458009500974,440.5779000080656,6047,4.99685794608897,0.2061323383784465,3.0,5.0,5.0,6.0,7.0
20260907_020930_401399,M0+M1+M2+M3,4,6004,191,0,5,0,0,0,0,29996.165899996413,29997,200.12557671581345,200.1200120012001,6003,4.996862552056707,2.8117641439066845,0.0,4.944599990267307,10.24007000378333,14.54963399679398,29.361699998844415,6003,4.997001499250374,0.19228239191000251,3.0,5.0,5.0,6.0,7.0
