run_id,N,modules,slot,batch_id,repeat,main_status,ESKF_count,ESKD_count,K_ESKD,K1_ESKD,K2_ESKD,K_zero_fraction,K_max,q_ESKF,valid_update_rate_Hz,ESKF_PC_interval_mean_s,ESKF_trigger_reason
20260907_020041_855845,3,M0_M2_M3,M0,BATCH_9143ccc92d6444ee8de5e350756c8565,1,PASS,30,5973,3.845303867403315,3.477482002343881,0.3678218650594341,0.1928679055750879,49,0.004997501249375313,200.09777891463008,0.999640579310302,unknown_without_correlated_firmware_events
20260907_020041_855845,3,M0_M2_M3,M2,BATCH_9143ccc92d6444ee8de5e350756c8565,1,PASS,30,5973,21.56956303365143,20.78436296668341,0.7852000669680228,0.003850661309224845,42,0.004997501249375313,200.09777891463008,0.9994604379312007,unknown_without_correlated_firmware_events
20260907_020041_855845,3,M0_M2_M3,M3,BATCH_9143ccc92d6444ee8de5e350756c8565,1,PASS,30,5973,3.2703833919303533,1.8129917964172109,1.4573915955131425,0.19939728779507784,25,0.004997501249375313,200.09777891463008,0.9993269034482716,unknown_without_correlated_firmware_events
20260907_020121_954165,3,M0_M2_M3,M0,BATCH_9143ccc92d6444ee8de5e350756c8565,2,PASS,30,5974,4.040843655841982,3.708905256109809,0.33193839973217276,0.08101774355540677,50,0.004996668887408394,200.12628088307903,0.9993712241382033,unknown_without_correlated_firmware_events
20260907_020121_954165,3,M0_M2_M3,M2,BATCH_9143ccc92d6444ee8de5e350756c8565,2,PASS,30,5974,23.20605959156344,22.36976899899565,0.8362905925677938,0.0005021760964178105,42,0.004996668887408394,200.12628088307903,0.9993646172415225,unknown_without_correlated_firmware_events
20260907_020121_954165,3,M0_M2_M3,M3,BATCH_9143ccc92d6444ee8de5e350756c8565,2,PASS,30,5974,3.9141278875125542,2.15818547037161,1.7559424171409441,0.17944425845329762,35,0.004996668887408394,200.12628088307903,0.999196127586966,unknown_without_correlated_firmware_events
20260907_020202_020960,3,M0_M2_M3,M0,BATCH_9143ccc92d6444ee8de5e350756c8565,3,PASS,30,5974,4.6295614328757955,4.313692668228993,0.3158687646468028,0.002678272514228323,50,0.004996668887408394,200.1021174029335,0.9993802655171121,unknown_without_correlated_firmware_events
20260907_020202_020960,3,M0_M2_M3,M2,BATCH_9143ccc92d6444ee8de5e350756c8565,3,PASS,30,5974,24.198526950117174,23.402243053230666,0.7962838968865082,0.0,45,0.004996668887408394,200.1021174029335,0.9991920379307603,unknown_without_correlated_firmware_events
20260907_020202_020960,3,M0_M2_M3,M3,BATCH_9143ccc92d6444ee8de5e350756c8565,3,PASS,30,5974,4.01389353866756,2.1603615667894207,1.8535319718781387,0.16404419149648478,51,0.004996668887408394,200.1021174029335,0.9994010379315145,unknown_without_correlated_firmware_events
20260907_020319_422751,3,M0_M1_M3,M0,BATCH_effca0df2e304d6fbd3170267cc6b254,1,PASS,30,5973,3.7195714046542774,3.4351247279424073,0.2844466767118701,0.31274066633182657,56,0.004997501249375313,200.09794299320674,0.9988977068960907,unknown_without_correlated_firmware_events
20260907_020319_422751,3,M0_M1_M3,M1,BATCH_effca0df2e304d6fbd3170267cc6b254,1,PASS,30,5973,1.440984429934706,0.5787711367821865,0.8622132931525197,0.5429432446007032,21,0.004997501249375313,200.09794299320674,0.9994975310340845,unknown_without_correlated_firmware_events
20260907_020319_422751,3,M0_M1_M3,M3,BATCH_effca0df2e304d6fbd3170267cc6b254,1,PASS,30,5973,4.202745688933534,1.9789050728277247,2.2238406161058095,0.20207600870584297,58,0.004997501249375313,200.09794299320674,0.9994845965511872,unknown_without_correlated_firmware_events
20260907_020359_444605,3,M0_M1_M3,M0,BATCH_effca0df2e304d6fbd3170267cc6b254,2,PASS,30,5974,5.429360562437228,5.137428858386341,0.2919317040508872,0.0013391362571141614,55,0.004996668887408394,200.10350457091508,0.9995037482756367,unknown_without_correlated_firmware_events
