row,column,method,adc_rmse,adc_r2,pressure_rmse,pressure_r2,lut_points,plateau_count,measured_adc_min,measured_adc_max
12,16,isotonic+pchip+lut,16.744968,0.998210,66.326093,0.996305,20,2,110.000,1381.000
13,1,isotonic+pchip+lut,3.316625,0.999954,13.990571,0.999836,21,1,5.000,1443.000
13,2,isotonic+pchip+lut,0.000000,1.000000,11.005164,0.999898,21,1,1.000,1447.000
13,3,isotonic+pchip+lut,0.150756,1.000000,11.041466,0.999898,21,1,0.000,1456.000
13,4,isotonic+pchip+lut,7.990051,0.999668,22.041449,0.999592,21,1,37.000,1430.000
13,5,isotonic+pchip+lut,6.741999,0.999749,21.462735,0.999613,20,2,114.000,1447.000
13,6,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,70.000,1444.000
13,7,isotonic+pchip+lut,2.713602,0.999955,11.936465,0.999880,21,1,133.000,1446.000
13,8,isotonic+pchip+lut,5.134553,0.999872,21.100363,0.999626,20,2,4.000,1449.000
13,9,isotonic+pchip+lut,7.010139,0.999705,17.492271,0.999743,21,1,110.000,1448.000
13,10,isotonic+pchip+lut,18.995215,0.997646,35.725283,0.998928,21,1,58.000,1435.000
13,11,isotonic+pchip+lut,16.055479,0.998278,33.817662,0.999040,21,1,115.000,1435.000
13,12,isotonic+pchip+lut,26.080731,0.993769,42.514447,0.998482,21,1,98.000,1442.000
13,13,isotonic+pchip+lut,10.407966,0.999550,57.934373,0.997181,16,6,3.000,1414.000
13,14,isotonic+pchip+lut,3.165869,0.999947,13.323493,0.999851,21,1,69.000,1444.000
13,15,isotonic+pchip+lut,5.879471,0.999831,15.466905,0.999799,21,1,70.000,1457.000
13,16,isotonic+pchip+lut,6.003787,0.999827,39.552266,0.998686,20,2,30.000,1397.000
14,1,isotonic+pchip+lut,0.000000,1.000000,11.005164,0.999898,21,1,2.000,1415.000
14,2,isotonic+pchip+lut,0.000000,1.000000,11.005164,0.999898,21,1,1.000,1441.000
14,3,isotonic+pchip+lut,0.000000,1.000000,11.005164,0.999898,21,1,1.000,1442.000
14,4,isotonic+pchip+lut,95.275199,0.931855,115.877064,0.988723,19,3,1.000,1451.000
14,5,isotonic+pchip+lut,1.658312,0.999980,13.632453,0.999844,21,1,3.000,1456.000
14,6,isotonic+pchip+lut,4.974937,0.999838,14.837472,0.999815,21,1,2.000,1455.000
14,7,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,3.000,1451.000
14,8,isotonic+pchip+lut,0.452267,0.999999,11.168830,0.999895,21,1,1.000,1447.000
14,9,isotonic+pchip+lut,3.583421,0.999879,57.278094,0.997245,20,2,2.000,1451.000
14,10,isotonic+pchip+lut,32.349552,0.988430,235.602638,0.953382,16,6,1.000,1464.000
14,11,isotonic+pchip+lut,14.056299,0.998150,93.743223,0.992620,19,3,2.000,1465.000
14,12,isotonic+pchip+lut,2.528624,0.999939,33.557532,0.999054,19,3,2.000,1458.000
14,13,isotonic+pchip+lut,20.564892,0.998550,135.385459,0.984606,15,7,1.000,1435.000
14,14,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,1.000,1445.000
14,15,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,1.000,1445.000
14,16,isotonic+pchip+lut,10.900375,0.999430,65.142451,0.996436,18,4,1.000,1410.000
15,1,isotonic+pchip+lut,0.000000,1.000000,0.000000,1.000000,22,0,1.000,1421.000
15,2,isotonic+pchip+lut,0.000000,1.000000,21.560433,0.999610,20,2,1.000,1453.000
15,3,isotonic+pchip+lut,0.000000,1.000000,21.560433,0.999610,20,2,0.000,1451.000
15,4,isotonic+pchip+lut,0.174078,1.000000,21.608306,0.999608,20,2,0.000,1452.000
15,5,isotonic+pchip+lut,0.174078,1.000000,21.595736,0.999608,20,2,0.000,1456.000
15,6,isotonic+pchip+lut,0.174078,1.000000,21.602241,0.999608,20,2,0.000,1451.000
15,7,isotonic+pchip+lut,0.174078,1.000000,21.585894,0.999609,20,2,0.000,1456.000
15,8,isotonic+pchip+lut,0.000000,1.000000,21.560433,0.999610,20,2,0.000,1463.000
15,9,isotonic+pchip+lut,0.174078,1.000000,21.580790,0.999609,20,2,0.000,1463.000
15,10,isotonic+pchip+lut,22.531733,0.997850,1550.936289,-1.020146,5,17,0.000,1492.000
15,11,isotonic+pchip+lut,11.513027,0.999482,1624.518316,-1.216379,5,17,0.000,1502.000
15,12,isotonic+pchip+lut,2.287979,0.999976,61.888363,0.996783,19,3,0.000,1462.000
15,13,isotonic+pchip+lut,37.847681,0.995032,111.298129,0.989597,14,8,1.000,1432.000
15,14,isotonic+pchip+lut,0.000000,1.000000,21.560433,0.999610,20,2,0.000,1453.000
15,15,isotonic+pchip+lut,0.150756,1.000000,31.394065,0.999172,21,1,0.000,1447.000
15,16,isotonic+pchip+lut,9.799119,0.999540,44.752093,0.998318,19,3,1.000,1395.000
16,1,isotonic+pchip+lut,0.000000,1.000000,21.560433,0.999610,20,2,1.000,1394.000
16,2,isotonic+pchip+lut,0.000000,1.000000,34.230502,0.999016,19,3,1.000,1418.000
16,3,isotonic+pchip+lut,0.176777,1.000000,34.324191,0.999011,19,3,0.000,1423.000
16,4,isotonic+pchip+lut,0.184637,1.000000,34.355887,0.999009,19,3,0.000,1414.000
16,5,isotonic+pchip+lut,0.184637,1.000000,34.346846,0.999009,19,3,0.000,1421.000
16,6,isotonic+pchip+lut,0.184637,1.000000,34.360956,0.999008,19,3,0.000,1421.000
16,7,isotonic+pchip+lut,0.184637,1.000000,34.312397,0.999011,19,3,0.000,1440.000
16,8,isotonic+pchip+lut,0.213201,1.000000,34.339968,0.999010,19,3,0.000,1447.000
16,9,isotonic+pchip+lut,0.184637,1.000000,34.296263,0.999012,19,3,0.000,1437.000
16,10,isotonic+pchip+lut,0.000000,1.000000,34.230502,0.999016,19,3,0.000,1427.000
16,11,isotonic+pchip+lut,0.174078,1.000000,57.311169,0.997241,20,2,0.000,1428.000
16,12,isotonic+pchip+lut,0.000000,1.000000,34.230502,0.999016,19,3,0.000,1424.000
16,13,isotonic+pchip+lut,3.093248,0.999958,45.437141,0.998266,16,6,1.000,1398.000
16,14,isotonic+pchip+lut,0.000000,1.000000,34.230502,0.999016,19,3,0.000,1415.000
16,15,isotonic+pchip+lut,0.000000,1.000000,34.230502,0.999016,19,3,0.000,1409.000
16,16,isotonic+pchip+lut,3.316625,0.999939,42.479998,0.998484,18,4,1.000,1361.000
