run_id,started_at,mode,condition,N,target_hz,modules,block,batch_id,repeat,old_relative_path,new_relative_path,duration_s,main_duration_s,main_packets,main_status,full_status,full_review_reasons,main_rate_Hz,main_Lmean_B,main_packet_Mbit_s,main_raw_arrival_Mbit_s,source_local_firmware,deployment_confirmed,main_eligible,main_review_reasons,main_outer_crc_errors,main_outer_missing_sequence_numbers,main_interior_unassigned_raw_bytes,source_review,timing_note,replacement_batch_id,primary_matrix_selected,selection_reason
20260907_005108_797842,2026-09-07T00:51:08.797842+01:00,FULL,zero_load,3,200,M0_M1_M2,1,BATCH_6b6313d281364eaa891ce82942b3d531,3,20260907_005108_797842,FULL/N=3/200Hz/M0_M1_M2/Batch_20260907_004948_668301/Repeat_3,40.00637069999357,30.006370699993568,6002,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.02419019642673,3172.0,5.075813850424525,5.075814117034575,four-module-variable-spi,False,True,,0,0,0,20260907_full_completion_review,"PC completion gap 278.7935 ms, corresponding bridge interval 5 ms; PASS retained",BATCH_6b6313d281364eaa891ce82942b3d531,True,complete_retest_batch_selected_as_one_unit
20260907_001345_234235,2026-09-07T00:13:45.234235+01:00,FULL,zero_load,3,200,M0_M1_M3,1,BATCH_99a81ef679d94018b7b50eb637f57582,1,20260907_001345_234235,FULL/N=3/200Hz/M0_M1_M3/Repeat_1,40.00078930001473,30.00078930001473,6003,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.09473550741055,3172.0,5.07760400823605,5.077604274895701,four-module-variable-spi,False,True,,0,0,0,20260907_n3_full_review,,,True,original_complete_three_window_batch
20260907_001425_309099,2026-09-07T00:14:25.309099+01:00,FULL,zero_load,3,200,M0_M1_M3,1,BATCH_99a81ef679d94018b7b50eb637f57582,2,20260907_001425_309099,FULL/N=3/200Hz/M0_M1_M3/Repeat_2,40.002674799994566,30.002674799994566,6003,PASS,PASS,,200.0821606745905,3172.0,5.077284909278409,5.077284909278409,four-module-variable-spi,False,True,,0,0,0,20260907_n3_full_review,,,True,original_complete_three_window_batch
20260907_001505_375008,2026-09-07T00:15:05.375008+01:00,FULL,zero_load,3,200,M0_M1_M3,1,BATCH_99a81ef679d94018b7b50eb637f57582,3,20260907_001505_375008,FULL/N=3/200Hz/M0_M1_M3/Repeat_3,40.00143200001912,30.001432000019122,5974,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,199.12382848912654,3172.0,5.052966271740075,5.053238258757228,four-module-variable-spi,False,True,,0,0,0,20260907_n3_full_review,Bridge enqueue gap 123 ms and separate PC completion gap 301.3735 ms; PASS retained,,True,original_complete_three_window_batch
20260907_001710_986331,2026-09-07T00:17:10.986331+01:00,FULL,zero_load,3,200,M0_M2_M3,1,BATCH_5e558777cbde42149caff5504c6a2042,1,20260907_001710_986331,FULL/N=3/200Hz/M0_M2_M3/Repeat_1,40.00337359998957,30.003373599989573,6005,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.1441597888208,3172.0,5.078858198801116,5.078858465437799,four-module-variable-spi,False,True,,0,0,0,20260907_n3_full_review,,,True,original_complete_three_window_batch
20260907_001751_034069,2026-09-07T00:17:51.034069+01:00,FULL,zero_load,3,200,M0_M2_M3,1,BATCH_5e558777cbde42149caff5504c6a2042,2,20260907_001751_034069,FULL/N=3/200Hz/M0_M2_M3/Repeat_2,40.00318010000046,30.003180100000463,6005,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.1454505817504,3172.0,5.078890953962499,5.078891220600901,four-module-variable-spi,False,True,,0,0,0,20260907_n3_full_review,,,True,original_complete_three_window_batch
20260907_001831_069491,2026-09-07T00:18:31.069491+01:00,FULL,zero_load,3,200,M0_M2_M3,1,BATCH_5e558777cbde42149caff5504c6a2042,3,20260907_001831_069491,FULL/N=3/200Hz/M0_M2_M3/Repeat_3,40.003763699991396,30.003763699991396,6007,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.2082158779874,3172.0,5.080483686119808,5.080483952753024,four-module-variable-spi,False,True,,0,0,0,20260907_n3_full_review,,,True,original_complete_three_window_batch
20260907_003258_918645,2026-09-07T00:32:58.918645+01:00,FULL,zero_load,3,200,M1_M2_M3,1,BATCH_dc8d0a297550491886808808275de52f,1,20260907_003258_918645,FULL/N=3/200Hz/M1_M2_M3/Repeat_1,40.00021979998564,30.000219799985643,6007,PASS,PASS,,200.23186630128873,3172.0,5.0810838392615025,5.0810838392615025,four-module-variable-spi,False,True,,0,0,0,20260907_n3_full_review,,,True,original_complete_three_window_batch
20260907_003339_025463,2026-09-07T00:33:39.025463+01:00,FULL,zero_load,3,200,M1_M2_M3,1,BATCH_dc8d0a297550491886808808275de52f,2,20260907_003339_025463,FULL/N=3/200Hz/M1_M2_M3/Repeat_2,40.00244559999555,30.002445599995553,6008,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.2503422587954,3172.0,5.081552685159193,5.081552951804122,four-module-variable-spi,False,True,,0,0,0,20260907_n3_full_review,,,True,original_complete_three_window_batch
20260907_003419_073823,2026-09-07T00:34:19.073823+01:00,FULL,zero_load,3,200,M1_M2_M3,1,BATCH_dc8d0a297550491886808808275de52f,3,20260907_003419_073823,FULL/N=3/200Hz/M1_M2_M3/Repeat_3,40.00398989999667,30.003989899996668,6006,PASS,PASS,,200.17337760804494,3172.0,5.0795996301817485,5.0795996301817485,four-module-variable-spi,False,True,,0,0,0,20260907_n3_full_review,,,True,original_complete_three_window_batch
20260907_005250_875035,2026-09-07T00:52:50.875035+01:00,FULL,zero_load,4,200,M0_M1_M2_M3,1,BATCH_9fd1ea44282d4e30a57739ebb1856112,1,20260907_005250_875035,FULL/N=4/200Hz/M0_M1_M2_M3/Repeat_1,40.00000839997665,30.00000839997665,6002,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.0666106481714,4216.0,6.747846643941525,6.747846910608117,four-module-variable-spi,False,True,,0,0,0,20260907_full_completion_review,,,True,original_complete_three_window_batch
20260907_005330_930696,2026-09-07T00:53:30.930696+01:00,FULL,zero_load,4,200,M0_M1_M2_M3,1,BATCH_9fd1ea44282d4e30a57739ebb1856112,2,20260907_005330_930696,FULL/N=4/200Hz/M0_M1_M2_M3/Repeat_2,40.00523650000105,30.005236500001047,6002,PASS,PASS,,200.03175112450091,4216.0,6.746670901927166,6.746670901927166,four-module-variable-spi,False,True,,0,0,0,20260907_full_completion_review,,,True,original_complete_three_window_batch
20260907_005410_996854,2026-09-07T00:54:10.996854+01:00,FULL,zero_load,4,200,M0_M1_M2_M3,1,BATCH_9fd1ea44282d4e30a57739ebb1856112,3,20260907_005410_996854,FULL/N=4/200Hz/M0_M1_M2_M3/Repeat_3,40.000026299996534,30.000026299996534,6003,PASS,PASS,,200.0998245791769,4216.0,6.748966883406479,6.748966883406479,four-module-variable-spi,False,True,,0,0,0,20260907_full_completion_review,,,True,original_complete_three_window_batch
