N,M_configured_slots,frequency_Hz,FULL_Mbit_s,DELTA_K0_Mbit_s,DELTA_K240_Mbit_s,DELTA_K480_Mbit_s,USB_raw_Mbit_s,q_ESKF_total,T_sync_s,DELTA_K0_no_ESKF_bound_Mbit_s,DELTA_K240_no_ESKF_bound_Mbit_s,DELTA_K480_no_ESKF_bound_Mbit_s
193,193,200,323.6608,28.695039999999995,176.17792,323.6608,480.0,0.005,1.0,27.2128,175.4368,323.6608
194,194,200,325.3376,28.84352,177.09056,325.3376,480.0,0.005,1.0,27.3536,176.3456,325.3376
195,195,200,327.0144,28.992,178.0032,327.0144,480.0,0.005,1.0,27.4944,177.2544,327.0144
196,196,200,328.6912,29.14048,178.91584,328.6912,480.0,0.005,1.0,27.6352,178.1632,328.6912
197,197,200,330.368,29.288959999999996,179.82847999999996,330.368,480.0,0.005,1.0,27.776,179.072,330.368
198,198,200,332.0448,29.437439999999995,180.74112,332.0448,480.0,0.005,1.0,27.9168,179.9808,332.0448
199,199,200,333.7216,29.58592,181.65376,333.7216,480.0,0.005,1.0,28.0576,180.8896,333.7216
200,200,200,335.3984,29.7344,182.5664,335.3984,480.0,0.005,1.0,28.1984,181.7984,335.3984
201,201,200,337.0752,29.88288,183.47904,337.0752,480.0,0.005,1.0,28.3392,182.7072,337.0752
202,202,200,338.752,30.031359999999996,184.39167999999998,338.752,480.0,0.005,1.0,28.48,183.616,338.752
203,203,200,340.4288,30.179839999999995,185.30432,340.4288,480.0,0.005,1.0,28.6208,184.5248,340.4288
204,204,200,342.1056,30.32832,186.21696,342.1056,480.0,0.005,1.0,28.7616,185.4336,342.1056
205,205,200,343.7824,30.4768,187.1296,343.7824,480.0,0.005,1.0,28.9024,186.3424,343.7824
206,206,200,345.4592,30.62528,188.04224,345.4592,480.0,0.005,1.0,29.0432,187.2512,345.4592
207,207,200,347.136,30.773759999999996,188.95487999999997,347.136,480.0,0.005,1.0,29.184,188.16,347.136
208,208,200,348.8128,30.922239999999995,189.86752,348.8128,480.0,0.005,1.0,29.3248,189.0688,348.8128
209,209,200,350.4896,31.07072,190.78016,350.4896,480.0,0.005,1.0,29.4656,189.9776,350.4896
210,210,200,352.1664,31.2192,191.6928,352.1664,480.0,0.005,1.0,29.6064,190.8864,352.1664
211,211,200,353.8432,31.36768,192.60544,353.8432,480.0,0.005,1.0,29.7472,191.7952,353.8432
212,212,200,355.52,31.516159999999996,193.51807999999997,355.52,480.0,0.005,1.0,29.888,192.704,355.52
213,213,200,357.1968,31.664639999999995,194.43072,357.1968,480.0,0.005,1.0,30.0288,193.6128,357.1968
214,214,200,358.8736,31.81312,195.34336,358.8736,480.0,0.005,1.0,30.1696,194.5216,358.8736
215,215,200,360.5504,31.9616,196.256,360.5504,480.0,0.005,1.0,30.3104,195.4304,360.5504
216,216,200,362.2272,32.11008,197.16864,362.2272,480.0,0.005,1.0,30.4512,196.3392,362.2272
217,217,200,363.904,32.258559999999996,198.08127999999996,363.904,480.0,0.005,1.0,30.592,197.248,363.904
218,218,200,365.5808,32.407039999999995,198.99392,365.5808,480.0,0.005,1.0,30.7328,198.1568,365.5808
219,219,200,367.2576,32.55552,199.90656,367.2576,480.0,0.005,1.0,30.8736,199.0656,367.2576
220,220,200,368.9344,32.704,200.8192,368.9344,480.0,0.005,1.0,31.0144,199.9744,368.9344
221,221,200,370.6112,32.85248,201.73184,370.6112,480.0,0.005,1.0,31.1552,200.8832,370.6112
222,222,200,372.288,33.00096,202.64447999999996,372.288,480.0,0.005,1.0,31.296,201.792,372.288
223,223,200,373.9648,33.14944,203.55712,373.9648,480.0,0.005,1.0,31.4368,202.7008,373.9648
224,224,200,375.6416,33.29792,204.46976,375.6416,480.0,0.005,1.0,31.5776,203.6096,375.6416
225,225,200,377.3184,33.4464,205.3824,377.3184,480.0,0.005,1.0,31.7184,204.5184,377.3184
226,226,200,378.9952,33.59488,206.29504,378.9952,480.0,0.005,1.0,31.8592,205.4272,378.9952
227,227,200,380.672,33.74336,207.20767999999998,380.672,480.0,0.005,1.0,32.0,206.336,380.672
228,228,200,382.3488,33.89184,208.12032,382.3488,480.0,0.005,1.0,32.1408,207.2448,382.3488
229,229,200,384.0256,34.04032,209.03296,384.0256,480.0,0.005,1.0,32.2816,208.1536,384.0256
230,230,200,385.7024,34.1888,209.9456,385.7024,480.0,0.005,1.0,32.4224,209.0624,385.7024
231,231,200,387.3792,34.33728,210.85824,387.3792,480.0,0.005,1.0,32.5632,209.9712,387.3792
232,232,200,389.056,34.48576,211.77087999999998,389.056,480.0,0.005,1.0,32.704,210.88,389.056
233,233,200,390.7328,34.63424,212.68351999999996,390.7328,480.0,0.005,1.0,32.8448,211.7888,390.7328
234,234,200,392.4096,34.78272,213.59616,392.4096,480.0,0.005,1.0,32.9856,212.6976,392.4096
235,235,200,394.0864,34.9312,214.5088,394.0864,480.0,0.005,1.0,33.1264,213.6064,394.0864
236,236,200,395.7632,35.07968,215.42144,395.7632,480.0,0.005,1.0,33.2672,214.5152,395.7632
237,237,200,397.44,35.22816,216.33407999999997,397.44,480.0,0.005,1.0,33.408,215.424,397.44
238,238,200,399.1168,35.37664,217.24671999999998,399.1168,480.0,0.005,1.0,33.5488,216.3328,399.1168
239,239,200,400.7936,35.52512,218.15936,400.7936,480.0,0.005,1.0,33.6896,217.2416,400.7936
240,240,200,402.4704,35.6736,219.072,402.4704,480.0,0.005,1.0,33.8304,218.1504,402.4704
241,241,200,404.1472,35.82208,219.98464,404.1472,480.0,0.005,1.0,33.9712,219.0592,404.1472
242,242,200,405.824,35.97056,220.89727999999997,405.824,480.0,0.005,1.0,34.112,219.968,405.824
243,243,200,407.5008,36.11904,221.80991999999998,407.5008,480.0,0.005,1.0,34.2528,220.8768,407.5008
244,244,200,409.1776,36.26752,222.72256,409.1776,480.0,0.005,1.0,34.3936,221.7856,409.1776
245,245,200,410.8544,36.416,223.6352,410.8544,480.0,0.005,1.0,34.5344,222.6944,410.8544
246,246,200,412.5312,36.56448,224.54784,412.5312,480.0,0.005,1.0,34.6752,223.6032,412.5312
