N,M_configured_slots,frequency_Hz,FULL_Mbit_s,DELTA_K0_Mbit_s,DELTA_K240_Mbit_s,DELTA_K480_Mbit_s,USB_raw_Mbit_s,q_ESKF_total,T_sync_s,DELTA_K0_no_ESKF_bound_Mbit_s,DELTA_K240_no_ESKF_bound_Mbit_s,DELTA_K480_no_ESKF_bound_Mbit_s
4,4,200,6.7456,0.63232,3.68896,6.7456,480.0,0.005,1.0,0.6016,3.6736,6.7456
4,4,225,7.5888,0.70752,4.14816,7.5888,480.0,0.0044444444444444444,1.0,0.6768,4.1328,7.5888
4,4,250,8.432,0.78272,4.607360000000001,8.432,480.0,0.004,1.0,0.752,4.592,8.432
4,4,275,9.2752,0.85792,5.066559999999999,9.2752,480.0,0.0036363636363636364,1.0,0.8272,5.0512,9.2752
4,4,300,10.1184,0.93312,5.52576,10.1184,480.0,0.0033333333333333335,1.0,0.9024,5.5104,10.1184
4,4,325,10.9616,1.0083199999999999,5.98496,10.9616,480.0,0.003076923076923077,1.0,0.9776,5.9696,10.9616
4,4,350,11.8048,1.08352,6.444159999999999,11.8048,480.0,0.002857142857142857,1.0,1.0528,6.4288,11.8048
4,4,375,12.648,1.15872,6.90336,12.648,480.0,0.0026666666666666666,1.0,1.128,6.888,12.648
4,4,400,13.4912,1.23392,7.362560000000001,13.4912,480.0,0.0025,1.0,1.2032,7.3472,13.4912
4,4,425,14.3344,1.30912,7.821760000000002,14.3344,480.0,0.002352941176470588,1.0,1.2784,7.8064,14.3344
4,4,450,15.1776,1.38432,8.28096,15.1776,480.0,0.0022222222222222222,1.0,1.3536,8.2656,15.1776
4,4,475,16.0208,1.4595199999999997,8.740160000000001,16.0208,480.0,0.002105263157894737,1.0,1.4288,8.7248,16.0208
4,4,500,16.864,1.5347199999999999,9.199359999999999,16.864,480.0,0.002,1.0,1.504,9.184,16.864
4,4,525,17.7072,1.6099200000000002,9.65856,17.707200000000004,480.0,0.0019047619047619048,1.0,1.5792,9.6432,17.7072
4,4,550,18.5504,1.6851199999999997,10.11776,18.5504,480.0,0.0018181818181818182,1.0,1.6544,10.1024,18.5504
4,4,575,19.3936,1.7603199999999997,10.57696,19.3936,480.0,0.0017391304347826088,1.0,1.7296,10.5616,19.3936
4,4,600,20.2368,1.83552,11.03616,20.2368,480.0,0.0016666666666666668,1.0,1.8048,11.0208,20.2368
4,4,625,21.08,1.91072,11.495359999999998,21.08,480.0,0.0016,1.0,1.88,11.48,21.08
4,4,650,21.9232,1.9859200000000001,11.954559999999999,21.9232,480.0,0.0015384615384615385,1.0,1.9552,11.9392,21.9232
4,4,675,22.7664,2.06112,12.413759999999998,22.7664,480.0,0.0014814814814814814,1.0,2.0304,12.3984,22.7664
4,4,700,23.6096,2.13632,12.87296,23.6096,480.0,0.0014285714285714286,1.0,2.1056,12.8576,23.6096
5,5,0,0.0,0.0,0.0,0.0,480.0,0.0,1.0,0.0,0.0,0.0
5,5,25,1.0528,0.1312,0.5919999999999999,1.0528,480.0,0.04,1.0,0.0928,0.5728,1.0528
5,5,50,2.1056,0.224,1.1648,2.1056,480.0,0.02,1.0,0.1856,1.1456,2.1056
5,5,75,3.1584,0.3168,1.7376,3.1584,480.0,0.013333333333333334,1.0,0.2784,1.7184,3.1584
5,5,100,4.2112,0.4096,2.3104000000000005,4.2112,480.0,0.01,1.0,0.3712,2.2912,4.2112
5,5,125,5.264,0.5024000000000001,2.8832,5.264,480.0,0.008,1.0,0.464,2.864,5.264
5,5,150,6.3168,0.5952,3.456,6.3168,480.0,0.006666666666666667,1.0,0.5568,3.4368,6.3168
5,5,175,7.3696,0.688,4.0288,7.3696,480.0,0.005714285714285714,1.0,0.6496,4.0096,7.3696
5,5,200,8.4224,0.7808,4.6016,8.4224,480.0,0.005,1.0,0.7424,4.5824,8.4224
5,5,225,9.4752,0.8736,5.1744,9.4752,480.0,0.0044444444444444444,1.0,0.8352,5.1552,9.4752
5,5,250,10.528,0.9664000000000001,5.747200000000001,10.528,480.0,0.004,1.0,0.928,5.728,10.528
5,5,275,11.5808,1.0592,6.3199999999999985,11.5808,480.0,0.0036363636363636364,1.0,1.0208,6.3008,11.5808
5,5,300,12.6336,1.152,6.8928,12.6336,480.0,0.0033333333333333335,1.0,1.1136,6.8736,12.6336
5,5,325,13.6864,1.2447999999999997,7.4656,13.6864,480.0,0.003076923076923077,1.0,1.2064,7.4464,13.6864
5,5,350,14.7392,1.3375999999999997,8.0384,14.7392,480.0,0.002857142857142857,1.0,1.2992,8.0192,14.7392
5,5,375,15.792,1.4304,8.611199999999998,15.792,480.0,0.0026666666666666666,1.0,1.392,8.592,15.792
5,5,400,16.8448,1.5232,9.184,16.8448,480.0,0.0025,1.0,1.4848,9.1648,16.8448
5,5,425,17.8976,1.616,9.756800000000002,17.8976,480.0,0.002352941176470588,1.0,1.5776,9.7376,17.8976
5,5,450,18.9504,1.7087999999999999,10.3296,18.9504,480.0,0.0022222222222222222,1.0,1.6704,10.3104,18.9504
5,5,475,20.0032,1.8015999999999999,10.9024,20.0032,480.0,0.002105263157894737,1.0,1.7632,10.8832,20.0032
5,5,500,21.056,1.8943999999999996,11.475199999999997,21.056,480.0,0.002,1.0,1.856,11.456,21.056
