N,frequency_Hz,DELTA_K0_SPI_Mbit_s,DELTA_K240_SPI_Mbit_s,DELTA_K480_SPI_Mbit_s,configured_raw_Mbit_s,hypothetical_raw_Mbit_s,q_ESKF_total,T_sync_s,DELTA_K0_no_ESKF_bound_SPI_Mbit_s,DELTA_K240_no_ESKF_bound_SPI_Mbit_s,DELTA_K480_no_ESKF_bound_SPI_Mbit_s
4,500,1.3747199999999997,9.039359999999999,16.704,10.0,40.0,0.002,1.0,1.344,9.024,16.704
4,525,1.4419200000000003,9.49056,17.539200000000005,10.0,40.0,0.0019047619047619048,1.0,1.4112,9.4752,17.5392
4,550,1.5091199999999998,9.94176,18.3744,10.0,40.0,0.0018181818181818182,1.0,1.4784,9.9264,18.3744
4,575,1.5763199999999997,10.39296,19.2096,10.0,40.0,0.0017391304347826088,1.0,1.5456,10.3776,19.2096
4,600,1.64352,10.84416,20.0448,10.0,40.0,0.0016666666666666668,1.0,1.6128,10.8288,20.0448
4,625,1.71072,11.295359999999999,20.88,10.0,40.0,0.0016,1.0,1.68,11.28,20.88
4,650,1.7779200000000002,11.746559999999999,21.7152,10.0,40.0,0.0015384615384615385,1.0,1.7472,11.7312,21.7152
4,675,1.84512,12.197759999999999,22.5504,10.0,40.0,0.0014814814814814814,1.0,1.8144,12.1824,22.5504
4,700,1.91232,12.64896,23.3856,10.0,40.0,0.0014285714285714286,1.0,1.8816,12.6336,23.3856
5,0,0.0,0.0,0.0,10.0,40.0,0.0,1.0,0.0,0.0,0.0
5,25,0.1224,0.5831999999999998,1.044,10.0,40.0,0.04,1.0,0.084,0.564,1.044
5,50,0.2064,1.1472,2.088,10.0,40.0,0.02,1.0,0.168,1.128,2.088
5,75,0.2904,1.7112,3.132,10.0,40.0,0.013333333333333334,1.0,0.252,1.692,3.132
5,100,0.3744,2.2752000000000003,4.176,10.0,40.0,0.01,1.0,0.336,2.256,4.176
5,125,0.4584000000000001,2.8392,5.22,10.0,40.0,0.008,1.0,0.42,2.82,5.22
5,150,0.5424,3.4032,6.264,10.0,40.0,0.006666666666666667,1.0,0.504,3.384,6.264
5,175,0.6264,3.9672,7.308,10.0,40.0,0.005714285714285714,1.0,0.588,3.948,7.308
5,200,0.7104,4.5312,8.352,10.0,40.0,0.005,1.0,0.672,4.512,8.352
5,225,0.7944,5.0952,9.396,10.0,40.0,0.0044444444444444444,1.0,0.756,5.076,9.396
5,250,0.8784000000000001,5.659200000000001,10.44,10.0,40.0,0.004,1.0,0.84,5.64,10.44
5,275,0.9624,6.2231999999999985,11.484,10.0,40.0,0.0036363636363636364,1.0,0.924,6.204,11.484
5,300,1.0464,6.7872,12.528,10.0,40.0,0.0033333333333333335,1.0,1.008,6.768,12.528
5,325,1.1303999999999998,7.3512,13.572,10.0,40.0,0.003076923076923077,1.0,1.092,7.332,13.572
5,350,1.2143999999999997,7.915199999999999,14.616,10.0,40.0,0.002857142857142857,1.0,1.176,7.896,14.616
5,375,1.2984,8.479199999999999,15.66,10.0,40.0,0.0026666666666666666,1.0,1.26,8.46,15.66
5,400,1.3824,9.0432,16.704,10.0,40.0,0.0025,1.0,1.344,9.024,16.704
5,425,1.4664,9.607200000000002,17.748,10.0,40.0,0.002352941176470588,1.0,1.428,9.588,17.748
5,450,1.5503999999999998,10.1712,18.792,10.0,40.0,0.0022222222222222222,1.0,1.512,10.152,18.792
5,475,1.6343999999999999,10.7352,19.836,10.0,40.0,0.002105263157894737,1.0,1.596,10.716,19.836
5,500,1.7183999999999995,11.299199999999999,20.88,10.0,40.0,0.002,1.0,1.68,11.28,20.88
5,525,1.8024,11.8632,21.924000000000003,10.0,40.0,0.0019047619047619048,1.0,1.764,11.844,21.924
5,550,1.8863999999999999,12.4272,22.968,10.0,40.0,0.0018181818181818182,1.0,1.848,12.408,22.968
5,575,1.9704,12.991199999999997,24.012,10.0,40.0,0.0017391304347826088,1.0,1.932,12.972,24.012
5,600,2.0544,13.5552,25.056,10.0,40.0,0.0016666666666666668,1.0,2.016,13.536,25.056
5,625,2.1384,14.119199999999998,26.1,10.0,40.0,0.0016,1.0,2.1,14.1,26.1
5,650,2.2224,14.6832,27.144,10.0,40.0,0.0015384615384615385,1.0,2.184,14.664,27.144
5,675,2.3064,15.247199999999996,28.188,10.0,40.0,0.0014814814814814814,1.0,2.268,15.228,28.188
5,700,2.3904,15.8112,29.232,10.0,40.0,0.0014285714285714286,1.0,2.352,15.792,29.232
6,0,0.0,0.0,0.0,10.0,40.0,0.0,1.0,0.0,0.0,0.0
6,25,0.14688000000000004,0.69984,1.2528,10.0,40.0,0.04,1.0,0.1008,0.6768,1.2528
6,50,0.24767999999999998,1.3766400000000003,2.5056,10.0,40.0,0.02,1.0,0.2016,1.3536,2.5056
6,75,0.34848,2.0534399999999997,3.7584,10.0,40.0,0.013333333333333334,1.0,0.3024,2.0304,3.7584
6,100,0.44927999999999996,2.73024,5.0112,10.0,40.0,0.01,1.0,0.4032,2.7072,5.0112
6,125,0.55008,3.4070399999999994,6.264,10.0,40.0,0.008,1.0,0.504,3.384,6.264
6,150,0.6508800000000001,4.08384,7.5168,10.0,40.0,0.006666666666666667,1.0,0.6048,4.0608,7.5168
6,175,0.7516800000000001,4.76064,8.7696,10.0,40.0,0.005714285714285714,1.0,0.7056,4.7376,8.7696
6,200,0.8524799999999999,5.437439999999999,10.0224,10.0,40.0,0.005,1.0,0.8064,5.4144,10.0224
6,225,0.95328,6.11424,11.2752,10.0,40.0,0.0044444444444444444,1.0,0.9072,6.0912,11.2752
6,250,1.05408,6.791040000000001,12.528,10.0,40.0,0.004,1.0,1.008,6.768,12.528
6,275,1.1548799999999997,7.467839999999999,13.7808,10.0,40.0,0.0036363636363636364,1.0,1.1088,7.4448,13.7808
6,300,1.25568,8.14464,15.0336,10.0,40.0,0.0033333333333333335,1.0,1.2096,8.1216,15.0336
6,325,1.3564799999999997,8.82144,16.2864,10.0,40.0,0.003076923076923077,1.0,1.3104,8.7984,16.2864
6,350,1.4572799999999997,9.498239999999997,17.5392,10.0,40.0,0.002857142857142857,1.0,1.4112,9.4752,17.5392
6,375,1.55808,10.17504,18.792,10.0,40.0,0.0026666666666666666,1.0,1.512,10.152,18.792
6,400,1.6588800000000001,10.85184,20.0448,10.0,40.0,0.0025,1.0,1.6128,10.8288,20.0448
6,425,1.7596800000000001,11.528640000000001,21.2976,10.0,40.0,0.002352941176470588,1.0,1.7136,11.5056,21.2976
6,450,1.8604799999999997,12.205440000000001,22.5504,10.0,40.0,0.0022222222222222222,1.0,1.8144,12.1824,22.5504
6,475,1.96128,12.882240000000001,23.8032,10.0,40.0,0.002105263157894737,1.0,1.9152,12.8592,23.8032
6,500,2.06208,13.559039999999998,25.056,10.0,40.0,0.002,1.0,2.016,13.536,25.056
6,525,2.1628800000000004,14.23584,26.30880000000001,10.0,40.0,0.0019047619047619048,1.0,2.1168,14.2128,26.3088
6,550,2.2636799999999995,14.912639999999998,27.5616,10.0,40.0,0.0018181818181818182,1.0,2.2176,14.8896,27.5616
6,575,2.3644799999999995,15.589439999999998,28.8144,10.0,40.0,0.0017391304347826088,1.0,2.3184,15.5664,28.8144
6,600,2.4652799999999995,16.26624,30.0672,10.0,40.0,0.0016666666666666668,1.0,2.4192,16.2432,30.0672
6,625,2.56608,16.943039999999996,31.32,10.0,40.0,0.0016,1.0,2.52,16.92,31.32
6,650,2.6668800000000004,17.61984,32.5728,10.0,40.0,0.0015384615384615385,1.0,2.6208,17.5968,32.5728
6,675,2.76768,18.296639999999996,33.8256,10.0,40.0,0.0014814814814814814,1.0,2.7216,18.2736,33.8256
6,700,2.86848,18.97344,35.0784,10.0,40.0,0.0014285714285714286,1.0,2.8224,18.9504,35.0784
7,0,0.0,0.0,0.0,10.0,40.0,0.0,1.0,0.0,0.0,0.0
7,25,0.17136,0.8164799999999999,1.4616,10.0,40.0,0.04,1.0,0.1176,0.7896,1.4616
7,50,0.28895999999999994,1.60608,2.9232,10.0,40.0,0.02,1.0,0.2352,1.5792,2.9232
7,75,0.40656,2.39568,4.3848,10.0,40.0,0.013333333333333334,1.0,0.3528,2.3688,4.3848
7,100,0.52416,3.1852800000000006,5.8464,10.0,40.0,0.01,1.0,0.4704,3.1584,5.8464
7,125,0.64176,3.974879999999999,7.308,10.0,40.0,0.008,1.0,0.588,3.948,7.308
7,150,0.7593600000000001,4.764480000000001,8.7696,10.0,40.0,0.006666666666666667,1.0,0.7056,4.7376,8.7696
7,175,0.8769600000000001,5.55408,10.2312,10.0,40.0,0.005714285714285714,1.0,0.8232,5.5272,10.2312
7,200,0.99456,6.34368,11.6928,10.0,40.0,0.005,1.0,0.9408,6.3168,11.6928
7,225,1.11216,7.13328,13.1544,10.0,40.0,0.0044444444444444444,1.0,1.0584,7.1064,13.1544
7,250,1.22976,7.922880000000001,14.616,10.0,40.0,0.004,1.0,1.176,7.896,14.616
7,275,1.3473599999999997,8.712479999999998,16.0776,10.0,40.0,0.0036363636363636364,1.0,1.2936,8.6856,16.0776
7,300,1.46496,9.50208,17.5392,10.0,40.0,0.0033333333333333335,1.0,1.4112,9.4752,17.5392
7,325,1.5825599999999997,10.29168,19.0008,10.0,40.0,0.003076923076923077,1.0,1.5288,10.2648,19.0008
7,350,1.7001599999999997,11.081279999999998,20.4624,10.0,40.0,0.002857142857142857,1.0,1.6464,11.0544,20.4624
7,375,1.8177600000000003,11.87088,21.924,10.0,40.0,0.0026666666666666666,1.0,1.764,11.844,21.924
7,400,1.9353600000000002,12.660480000000002,23.3856,10.0,40.0,0.0025,1.0,1.8816,12.6336,23.3856
7,425,2.05296,13.450080000000003,24.8472,10.0,40.0,0.002352941176470588,1.0,1.9992,13.4232,24.8472
7,450,2.17056,14.239680000000002,26.3088,10.0,40.0,0.0022222222222222222,1.0,2.1168,14.2128,26.3088
7,475,2.2881599999999995,15.029280000000004,27.7704,10.0,40.0,0.002105263157894737,1.0,2.2344,15.0024,27.7704
7,500,2.4057599999999995,15.818879999999998,29.232,10.0,40.0,0.002,1.0,2.352,15.792,29.232
7,525,2.5233600000000003,16.60848,30.693600000000007,10.0,40.0,0.0019047619047619048,1.0,2.4696,16.5816,30.6936
7,550,2.6409599999999998,17.39808,32.1552,10.0,40.0,0.0018181818181818182,1.0,2.5872,17.3712,32.1552
7,575,2.7585599999999997,18.18768,33.6168,10.0,40.0,0.0017391304347826088,1.0,2.7048,18.1608,33.6168
7,600,2.8761599999999996,18.977279999999997,35.0784,10.0,40.0,0.0016666666666666668,1.0,2.8224,18.9504,35.0784
7,625,2.9937599999999995,19.766879999999997,36.54,10.0,40.0,0.0016,1.0,2.94,19.74,36.54
7,650,3.1113600000000003,20.556479999999997,38.0016,10.0,40.0,0.0015384615384615385,1.0,3.0576,20.5296,38.0016
7,675,3.22896,21.346079999999997,39.4632,10.0,40.0,0.0014814814814814814,1.0,3.1752,21.3192,39.4632
7,700,3.3465599999999993,22.13568,40.9248,10.0,40.0,0.0014285714285714286,1.0,3.2928,22.1088,40.9248
8,0,0.0,0.0,0.0,10.0,40.0,0.0,1.0,0.0,0.0,0.0
8,25,0.19584,0.9331199999999998,1.6704,10.0,40.0,0.04,1.0,0.1344,0.9024,1.6704
8,50,0.3302399999999999,1.83552,3.3408,10.0,40.0,0.02,1.0,0.2688,1.8048,3.3408
8,75,0.46464,2.73792,5.0112,10.0,40.0,0.013333333333333334,1.0,0.4032,2.7072,5.0112
8,100,0.59904,3.6403200000000004,6.6816,10.0,40.0,0.01,1.0,0.5376,3.6096,6.6816
8,125,0.73344,4.542719999999999,8.352,10.0,40.0,0.008,1.0,0.672,4.512,8.352
8,150,0.86784,5.44512,10.0224,10.0,40.0,0.006666666666666667,1.0,0.8064,5.4144,10.0224
8,175,1.00224,6.34752,11.6928,10.0,40.0,0.005714285714285714,1.0,0.9408,6.3168,11.6928
8,200,1.13664,7.24992,13.3632,10.0,40.0,0.005,1.0,1.0752,7.2192,13.3632
8,225,1.27104,8.15232,15.0336,10.0,40.0,0.0044444444444444444,1.0,1.2096,8.1216,15.0336
8,250,1.40544,9.054720000000001,16.704,10.0,40.0,0.004,1.0,1.344,9.024,16.704
8,275,1.53984,9.957119999999998,18.3744,10.0,40.0,0.0036363636363636364,1.0,1.4784,9.9264,18.3744
8,300,1.67424,10.85952,20.0448,10.0,40.0,0.0033333333333333335,1.0,1.6128,10.8288,20.0448
8,325,1.8086399999999998,11.76192,21.7152,10.0,40.0,0.003076923076923077,1.0,1.7472,11.7312,21.7152
8,350,1.9430399999999997,12.664319999999998,23.3856,10.0,40.0,0.002857142857142857,1.0,1.8816,12.6336,23.3856
8,375,2.07744,13.56672,25.056,10.0,40.0,0.0026666666666666666,1.0,2.016,13.536,25.056
8,400,2.21184,14.469120000000002,26.7264,10.0,40.0,0.0025,1.0,2.1504,14.4384,26.7264
8,425,2.34624,15.371520000000004,28.3968,10.0,40.0,0.002352941176470588,1.0,2.2848,15.3408,28.3968
8,450,2.48064,16.27392,30.0672,10.0,40.0,0.0022222222222222222,1.0,2.4192,16.2432,30.0672
8,475,2.6150399999999996,17.176320000000004,31.7376,10.0,40.0,0.002105263157894737,1.0,2.5536,17.1456,31.7376
8,500,2.7494399999999994,18.078719999999997,33.408,10.0,40.0,0.002,1.0,2.688,18.048,33.408
8,525,2.8838400000000006,18.98112,35.07840000000001,10.0,40.0,0.0019047619047619048,1.0,2.8224,18.9504,35.0784
8,550,3.0182399999999996,19.88352,36.7488,10.0,40.0,0.0018181818181818182,1.0,2.9568,19.8528,36.7488
8,575,3.1526399999999994,20.78592,38.4192,10.0,40.0,0.0017391304347826088,1.0,3.0912,20.7552,38.4192
8,600,3.28704,21.68832,40.0896,10.0,40.0,0.0016666666666666668,1.0,3.2256,21.6576,40.0896
8,625,3.42144,22.590719999999997,41.76,10.0,40.0,0.0016,1.0,3.36,22.56,41.76
8,650,3.5558400000000003,23.493119999999998,43.4304,10.0,40.0,0.0015384615384615385,1.0,3.4944,23.4624,43.4304
8,675,3.69024,24.395519999999998,45.1008,10.0,40.0,0.0014814814814814814,1.0,3.6288,24.3648,45.1008
8,700,3.82464,25.29792,46.7712,10.0,40.0,0.0014285714285714286,1.0,3.7632,25.2672,46.7712
9,0,0.0,0.0,0.0,10.0,40.0,0.0,1.0,0.0,0.0,0.0
9,25,0.22032000000000002,1.0497599999999998,1.8792,10.0,40.0,0.04,1.0,0.1512,1.0152,1.8792
9,50,0.37152,2.06496,3.7584,10.0,40.0,0.02,1.0,0.3024,2.0304,3.7584
9,75,0.52272,3.0801599999999993,5.6376,10.0,40.0,0.013333333333333334,1.0,0.4536,3.0456,5.6376
