run_id,state,frequency_hz,protocol_mode,load,N,combo,repeat,source_path,source_kind,module_id,source_column,current_source_field,identity_verification,I_recorded_mA,I_min_recorded_mA,I_max_recorded_mA,V_recorded_V,V_min_recorded_V,V_max_recorded_V,V_source_recorded_V,drop_recorded_mV,P_branch_est_mW,T_STM32_recorded_C,T_regulator_recorded_C,T_Teensy_recorded_C
PS01_N3_F200_ZERO_M1-M2-M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,3,M1+M2+M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/zero_load/PS01_N3_F200_ZERO_M1-M2-M3_USB_RX_R1.yaml,continuous_yaml,M1,1,I_module1_avg_mA,experiment_label_not_hardware_UID_verified,18.107,18.09,18.34,3.249,3.248,3.249,3.276,26.99999999999969,58.829643,27.3,30.6,43.0
PS01_N3_F200_ZERO_M1-M2-M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,3,M1+M2+M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/zero_load/PS01_N3_F200_ZERO_M1-M2-M3_USB_RX_R1.yaml,continuous_yaml,M2,2,I_module2_avg_mA,experiment_label_not_hardware_UID_verified,18.361,18.34,18.39,3.245,3.245,3.246,3.276,30.999999999999694,59.581445,27.1,30.6,43.0
PS01_N3_F200_ZERO_M1-M2-M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,3,M1+M2+M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=3/M1-M2-M3/zero_load/PS01_N3_F200_ZERO_M1-M2-M3_USB_RX_R1.yaml,continuous_yaml,M3,3,I_module3_avg_mA,experiment_label_not_hardware_UID_verified,18.383,18.35,18.38,3.249,3.248,3.249,3.276,26.99999999999969,59.726366999999996,26.9,30.6,43.0
PS01_N4_F200_MAX_M0-M1-M2-M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,4,M0+M1+M2+M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/full_load/PS01_N4_F200_MAX_M0-M1-M2-M3_USB_RX_R1.yaml,continuous_yaml,M0,0,I_module0_avg_mA,experiment_label_not_hardware_UID_verified,19.657,19.61,19.69,3.237,3.236,3.239,3.273,36.00000000000003,63.629709000000005,27.9,31.2,42.3
PS01_N4_F200_MAX_M0-M1-M2-M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,4,M0+M1+M2+M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/full_load/PS01_N4_F200_MAX_M0-M1-M2-M3_USB_RX_R1.yaml,continuous_yaml,M1,1,I_module1_avg_mA,experiment_label_not_hardware_UID_verified,19.97,19.95,20.08,3.245,3.244,3.245,3.273,28.000000000000025,64.80265,27.6,31.2,42.3
PS01_N4_F200_MAX_M0-M1-M2-M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,4,M0+M1+M2+M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/full_load/PS01_N4_F200_MAX_M0-M1-M2-M3_USB_RX_R1.yaml,continuous_yaml,M2,2,I_module2_avg_mA,experiment_label_not_hardware_UID_verified,19.6,19.54,19.6,3.24,3.24,3.24,3.273,32.999999999999915,63.50400000000001,28.0,31.2,42.3
PS01_N4_F200_MAX_M0-M1-M2-M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,MAX,4,M0+M1+M2+M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/full_load/PS01_N4_F200_MAX_M0-M1-M2-M3_USB_RX_R1.yaml,continuous_yaml,M3,3,I_module3_avg_mA,experiment_label_not_hardware_UID_verified,19.493,19.49,19.67,3.242,3.24,3.242,3.273,31.00000000000014,63.19630599999999,27.8,31.2,42.3
PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,4,M0+M1+M2+M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/zero_load/PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1.yaml,continuous_yaml,M0,0,I_module0_avg_mA,experiment_label_not_hardware_UID_verified,18.024,17.99,18.05,3.24,3.24,3.24,3.274,33.99999999999981,58.397760000000005,28.0,31.0,42.0
PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,4,M0+M1+M2+M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/zero_load/PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1.yaml,continuous_yaml,M1,1,I_module1_avg_mA,experiment_label_not_hardware_UID_verified,18.302,18.27,18.3,3.245,3.244,3.245,3.274,28.999999999999915,59.38999,27.8,31.0,42.0
PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,4,M0+M1+M2+M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/zero_load/PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1.yaml,continuous_yaml,M2,2,I_module2_avg_mA,experiment_label_not_hardware_UID_verified,18.095,18.09,18.12,3.243,3.243,3.243,3.274,31.00000000000014,58.682084999999994,27.6,31.0,42.0
PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1,CONTINUOUS_USB_READ,200,FULL,ZERO,4,M0+M1+M2+M3,1,DATA/raw/canonical/power_experiment_records/transmission/n=4/M0-M1-M2-M3/zero_load/PS01_N4_F200_ZERO_M0-M1-M2-M3_USB_RX_R1.yaml,continuous_yaml,M3,3,I_module3_avg_mA,experiment_label_not_hardware_UID_verified,18.092,17.94,18.22,3.248,3.248,3.249,3.274,25.9999999999998,58.762816,27.5,31.0,42.0
