run_id,date,date_bucket,mode,target_Hz,N,modules,load,repeat_label,module_id,ESKF_count,ESKD_count,q_ESKF,module_update_rate_Hz,unupdated_packets_for_this_module,K_n,K_mean,K_sd_population,K_p05,K_p25,K_median,K_p75,K_p95,K_min,K_max,K_zero_fraction,K_FSR1_mean,K_FSR2_mean,ESKF_interval_count,ESKF_interval_mean_s,ESKF_interval_min_s,ESKF_interval_max_s,flags_counts,base_link_discontinuities,break_events_after_anchor,unapplied_after_anchor,initial_unanchored_delta_frames,full_trigger_reason
20260901_192933,2026-09-01,before_2026-09-05,DELTA,200,1,M2,zero_load,Repeat_3,M2,30,5976,0.004995004995004995,200.0086597154441,0,5976,20.697623828647924,5.865125731169866,11.0,17.0,21.0,25.0,30.0,0,43,0.00016733601070950468,8.085006693440429,12.612617135207497,29,0.9992934137931034,0.823032,1.1717750000000002,"{""0x33"": 6006}",0,0,0,27,not_identifiable_from_recorded_frame_type
20260905_190327,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M2,zero_load,Repeat_4,M2,30,5978,0.004993342210386152,200.24601129067582,0,5978,43.7875543660087,23.824109406941734,3.0,19.0,56.0,63.0,71.0,0,83,0.01639344262295082,33.977751756440284,9.809802609568418,29,0.999233448275862,0.9927409999999997,1.00535,"{""0x33"": 6008}",0,0,0,42,not_identifiable_from_recorded_frame_type
20260905_190358,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M2,zero_load,Repeat_5,M2,30,5977,0.00499417346429166,200.2331931700992,0,5977,41.48636439685461,22.60206023284172,3.0,19.0,52.0,60.0,67.0,0,82,0.00886732474485528,32.41408733478334,9.072277062071274,29,0.9985017586206897,0.9838060000000001,1.010427,"{""0x33"": 6007}",0,0,0,118,not_identifiable_from_recorded_frame_type
20260905_190430,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M2,zero_load,Repeat_6,M2,30,5978,0.004993342210386152,200.24991843099644,0,5978,43.40899966543995,23.579535174798327,3.0,19.0,54.0,62.0,71.0,0,82,0.012044161927065908,33.77701572432252,9.631983941117431,29,0.9990704482758621,0.9912469999999995,1.0065210000000002,"{""0x33"": 6008}",0,0,0,145,not_identifiable_from_recorded_frame_type
20260905_190503,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M2,zero_load,Repeat_7,M2,30,5978,0.004993342210386152,200.24987704945914,0,5978,44.22750083640013,23.858378990477917,3.0,20.0,56.0,63.0,71.0,0,82,0.014218802275008364,34.2847106055537,9.942790230846438,29,0.9990842068965516,0.9945610000000009,1.005021000000001,"{""0x33"": 6008}",0,0,0,44,not_identifiable_from_recorded_frame_type
20260901_193036,2026-09-01,before_2026-09-05,DELTA,200,1,M3,zero_load,Repeat_1,M3,29,5960,0.004842210719652696,199.62529841508749,0,5960,9.188590604026846,3.7889370966443643,3.0,6.0,9.0,12.0,15.0,0,24,0.0041946308724832215,8.498825503355704,0.6897651006711409,28,1.00172175,0.9838759999999986,1.021142000000001,"{""0x33"": 5989}",0,0,0,198,not_identifiable_from_recorded_frame_type
20260901_193117,2026-09-01,before_2026-09-05,DELTA,200,1,M3,zero_load,Repeat_2,M3,30,5957,0.005010856856522465,199.5478479742432,0,5957,11.753231492361927,5.647101168042809,3.0,8.0,11.0,15.0,22.0,0,43,0.0023501762632197414,8.115997985563203,3.637233506798724,29,1.0019014482758621,0.9976270000000014,1.0081059999999997,"{""0x33"": 5987}",0,0,0,58,not_identifiable_from_recorded_frame_type
20260901_193149,2026-09-01,before_2026-09-05,DELTA,200,1,M3,zero_load,Repeat_3,M3,30,5959,0.005009183503088996,199.63291144233338,0,5959,9.987246182245343,3.945998772356194,4.0,7.0,10.0,13.0,17.0,0,32,0.002517200872629636,8.159254908541701,1.8279912737036415,29,1.0021117931034482,0.9937969999999998,1.0121320000000003,"{""0x33"": 5989}",0,0,0,16,not_identifiable_from_recorded_frame_type
20260905_190722,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M3,zero_load,Repeat_4,M3,30,5984,0.004988360492184902,200.45898708283386,0,5984,44.342914438502675,14.196919736644354,23.0,32.0,45.0,56.0,67.0,8,82,0.0,20.78709893048128,23.55581550802139,29,0.9983120689655173,0.989094999999999,1.0089490000000012,"{""0x33"": 6014}",0,0,0,192,not_identifiable_from_recorded_frame_type
20260905_190838,2026-09-05,yesterday_2026-09-05,DELTA,200,1,M3,zero_load,Repeat_5,M3,30,5983,0.004989190088142358,200.43074978103223,0,5983,43.3966237673408,13.144879900232107,23.0,32.0,44.0,54.0,64.0,11,83,0.0,20.588835032592346,22.807788734748453,29,0.9978807931034483,0.9904250000000019,1.0021050000000002,"{""0x33"": 6013}",0,0,0,148,not_identifiable_from_recorded_frame_type
