date,date_bucket,mode,target_Hz,N,modules,load,n_runs,run_ids,module_combinations,K_ESKD_mean_mean_over_runs,K_ESKD_mean_sd_between_runs,q_ESKF_module_frames_mean_over_runs,q_ESKF_module_frames_sd_between_runs,Lmean_B_mean_over_runs,Lmean_B_sd_between_runs,f_packet_Hz_mean_over_runs,f_packet_Hz_sd_between_runs,Mbit_per_s_mean_over_runs,Mbit_per_s_sd_between_runs,K_ESKD_pooled_mean,q_ESKF_pooled
2026-09-01,before_2026-09-05,FULL,200,2,M0+M2,load_not_recorded,1,"[""20260901_190012""]","[""M0+M2""]",,,1.0,,2128.0,,200.18374374537424,,3.4079280535212515,,,1.0
2026-09-01,before_2026-09-05,FULL,200,2,M0+M3,load_not_recorded,1,"[""20260901_190056""]","[""M0+M3""]",,,1.0,,2128.0,,199.70034416789073,,3.3996986591141716,,,1.0
2026-09-01,before_2026-09-05,FULL,200,2,M1+M2,load_not_recorded,1,"[""20260901_190300""]","[""M1+M2""]",,,1.0,,2128.0,,200.09901751391362,,3.4064856741568654,,,1.0
2026-09-01,before_2026-09-05,FULL,200,2,M1+M3,load_not_recorded,1,"[""20260901_190151""]","[""M1+M3""]",,,1.0,,2128.0,,199.6533431336094,,3.3988985135065666,,,1.0
2026-09-01,before_2026-09-05,FULL,200,2,M2+M3,load_not_recorded,1,"[""20260901_190356""]","[""M2+M3""]",,,1.0,,2128.0,,199.0187250460413,,3.388094775183807,,,1.0
2026-09-01,before_2026-09-05,FULL,200,3,M0+M1+M2,load_not_recorded,1,"[""20260901_190923""]","[""M0+M1+M2""]",,,1.0,,3172.0,,200.1375633292608,,5.078690807043321,,,1.0
2026-09-01,before_2026-09-05,FULL,200,3,M0+M1+M3,load_not_recorded,1,"[""20260901_191010""]","[""M0+M1+M3""]",,,1.0,,3172.0,,199.58794222708173,,5.064743621954425,,,1.0
2026-09-01,before_2026-09-05,FULL,200,3,M0+M2+M3,load_not_recorded,1,"[""20260901_191135""]","[""M0+M2+M3""]",,,1.0,,3172.0,,199.65902305383398,,5.066547369014091,,,1.0
2026-09-01,before_2026-09-05,FULL,200,3,M1+M2+M3,load_not_recorded,1,"[""20260901_191230""]","[""M1+M2+M3""]",,,1.0,,3172.0,,199.5137643583078,,5.062861284356419,,,1.0
2026-09-01,before_2026-09-05,FULL,200,4,M0+M1+M2+M3,load_not_recorded,2,"[""20260901_191328"", ""20260901_191436""]","[""M0+M1+M2+M3""]",,,1.0,0.0,4216.0,0.0,199.19438381250615,0.5331439037779726,6.718428177228207,0.01798187758662317,,1.0
